----------------------
Number of qubits: 8, Hamming weight: 4
Qubit indices are labelled from the right
----------------------

ESP state vector in the qubit Fock space

01101001 (Hamming wt: 4): -0.04718305501704472 - 0.07559332499489553im
01101010 (Hamming wt: 4): -0.0028061565063500758 + 0.030800373753187664im
01101011 (Hamming wt: 5): 0.0 + 0.0im
01101100 (Hamming wt: 4): 0.021776512272602536 + 0.05675085509594552im
01101101 (Hamming wt: 5): 0.0 + 0.0im
01101110 (Hamming wt: 5): 0.0 + 0.0im
01101111 (Hamming wt: 6): 0.0 + 0.0im
01110000 (Hamming wt: 3): 0.0 + 0.0im
01110001 (Hamming wt: 4): 0.05624140853963432 - 0.05561657263687006im
01110010 (Hamming wt: 4): -0.0272175381205297 + 0.0035847402007512415im
01110011 (Hamming wt: 5): 0.0 + 0.0im
01110100 (Hamming wt: 4): -0.044887272768247666 + 0.02993797557526988im
01110101 (Hamming wt: 5): 0.0 + 0.0im
01110110 (Hamming wt: 5): 0.0 + 0.0im
01110111 (Hamming wt: 6): 0.0 + 0.0im
01111000 (Hamming wt: 4): -0.08870364814017609 + 0.07720595064033431im
01111001 (Hamming wt: 5): 0.0 + 0.0im
01111010 (Hamming wt: 5): 0.0 + 0.0im
01111011 (Hamming wt: 6): 0.0 + 0.0im
01111100 (Hamming wt: 5): 0.0 + 0.0im
01111101 (Hamming wt: 6): 0.0 + 0.0im
01111110 (Hamming wt: 6): 0.0 + 0.0im
01111111 (Hamming wt: 7): 0.0 + 0.0im
10000000 (Hamming wt: 1): 0.0 + 0.0im
10000001 (Hamming wt: 2): 0.0 + 0.0im
10000010 (Hamming wt: 2): 0.0 + 0.0im
10000011 (Hamming wt: 3): 0.0 + 0.0im
10000100 (Hamming wt: 2): 0.0 + 0.0im
10000101 (Hamming wt: 3): 0.0 + 0.0im
10000110 (Hamming wt: 3): 0.0 + 0.0im
10000111 (Hamming wt: 4): -0.004115028811382972 - 0.0035816419950747353im
10001000 (Hamming wt: 2): 0.0 + 0.0im
10001001 (Hamming wt: 3): 0.0 + 0.0im
10001010 (Hamming wt: 3): 0.0 + 0.0im
10001011 (Hamming wt: 4): -0.009891994826234967 - 0.006597556082935075im
10001100 (Hamming wt: 3): 0.0 + 0.0im
10001101 (Hamming wt: 4): -0.023169003534107495 - 0.0030515198697348704im
10001110 (Hamming wt: 4): 0.005767184828716238 + 0.00570311203551228im
10001111 (Hamming wt: 5): 0.0 + 0.0im
10010000 (Hamming wt: 2): 0.0 + 0.0im
10010001 (Hamming wt: 3): 0.0 + 0.0im
10010010 (Hamming wt: 3): 0.0 + 0.0im
10010011 (Hamming wt: 4): 0.0037810606344293772 - 0.009853663501636618im
10010100 (Hamming wt: 3): 0.0 + 0.0im
10010101 (Hamming wt: 4): -0.0018820669209143783 - 0.020657566483372098im
10010110 (Hamming wt: 4): -0.0038120483036177795 + 0.0061073918636154485im
10010111 (Hamming wt: 5): 0.0 + 0.0im
10011000 (Hamming wt: 3): 0.0 + 0.0im
10011001 (Hamming wt: 4): -0.00981594643572143 - 0.044131981861403755im
10011010 (Hamming wt: 4): -0.0065413003956300425 + 0.014263006441104339im
10011011 (Hamming wt: 5): 0.0 + 0.0im
10011100 (Hamming wt: 4): 0.0008403621199462577 + 0.030828402930890394im
10011101 (Hamming wt: 5): 0.0 + 0.0im
10011110 (Hamming wt: 5): 0.0 + 0.0im
10011111 (Hamming wt: 6): 0.0 + 0.0im
10100000 (Hamming wt: 2): 0.0 + 0.0im
10100001 (Hamming wt: 3): 0.0 + 0.0im
10100010 (Hamming wt: 3): 0.0 + 0.0im
10100011 (Hamming wt: 4): -0.001303119786876676 + 0.0011422619228507im
10100100 (Hamming wt: 3): 0.0 + 0.0im
10100101 (Hamming wt: 4): -0.0013069043282158757 + 0.0031450632306266116im
10100110 (Hamming wt: 4): 0.0010210276914500202 - 0.0005956417337157139im
10100111 (Hamming wt: 5): 0.0 + 0.0im
10101000 (Hamming wt: 3): 0.0 + 0.0im
10101001 (Hamming wt: 4): -0.001950107496993329 + 0.007162322030338723im
10101010 (Hamming wt: 4): 0.002041440573335084 - 0.0015716795862158284im
10101011 (Hamming wt: 5): 0.0 + 0.0im
10101100 (Hamming wt: 4): 0.0022363209744998952 - 0.00454296704084667im
10101101 (Hamming wt: 5): 0.0 + 0.0im
10101110 (Hamming wt: 5): 0.0 + 0.0im
10101111 (Hamming wt: 6): 0.0 + 0.0im
10110000 (Hamming wt: 3): 0.0 + 0.0im
10110001 (Hamming wt: 4): -0.006582550990161113 - 0.0002899443106699081im
10110010 (Hamming wt: 4): 0.0017595355661946031 + 0.0014607417368838907im
10110011 (Hamming wt: 5): 0.0 + 0.0im
10110100 (Hamming wt: 4): 0.004370382546574206 + 0.0010492670521417722im
10110101 (Hamming wt: 5): 0.0 + 0.0im
10110110 (Hamming wt: 5): 0.0 + 0.0im
10110111 (Hamming wt: 6): 0.0 + 0.0im
10111000 (Hamming wt: 4): 0.009739422948201164 + 0.0010522555650107977im
10111001 (Hamming wt: 5): 0.0 + 0.0im
10111010 (Hamming wt: 5): 0.0 + 0.0im
10111011 (Hamming wt: 6): 0.0 + 0.0im
10111100 (Hamming wt: 5): 0.0 + 0.0im
10111101 (Hamming wt: 6): 0.0 + 0.0im
10111110 (Hamming wt: 6): 0.0 + 0.0im
10111111 (Hamming wt: 7): 0.0 + 0.0im
11000000 (Hamming wt: 2): 0.0 + 0.0im
11000001 (Hamming wt: 3): 0.0 + 0.0im
11000010 (Hamming wt: 3): 0.0 + 0.0im
11000011 (Hamming wt: 4): 0.006858526479608718 + 0.002447468417828055im
11000100 (Hamming wt: 3): 0.0 + 0.0im
11000101 (Hamming wt: 4): 0.014218545920219077 - 0.0016349907332781676im
11000110 (Hamming wt: 4): -0.004274918897977419 - 0.002529917463565478im
11000111 (Hamming wt: 5): 0.0 + 0.0im
11001000 (Hamming wt: 3): 0.0 + 0.0im
11001001 (Hamming wt: 4): 0.030281444219865214 - 0.007490338330613032im
11001010 (Hamming wt: 4): -0.00994501357352546 - 0.004279549473518934im
11001011 (Hamming wt: 5): 0.0 + 0.0im
11001100 (Hamming wt: 4): -0.0212511939001225 + 0.0010822529098225325im
11001101 (Hamming wt: 5): 0.0 + 0.0im
11001110 (Hamming wt: 5): 0.0 + 0.0im
11001111 (Hamming wt: 6): 0.0 + 0.0im
11010000 (Hamming wt: 3): 0.0 + 0.0im
11010001 (Hamming wt: 4): 0.01239898119706135 + 0.024757555535530933im
11010010 (Hamming wt: 4): 0.0017635814520007387 - 0.00944692252707934im
11010011 (Hamming wt: 5): 0.0 + 0.0im
11010100 (Hamming wt: 4): -0.005086936037627348 - 0.018189741799895333im
11010101 (Hamming wt: 5): 0.0 + 0.0im
11010110 (Hamming wt: 5): 0.0 + 0.0im
11010111 (Hamming wt: 6): 0.0 + 0.0im
11011000 (Hamming wt: 4): -0.01605732434349407 - 0.03790558888554879im
11011001 (Hamming wt: 5): 0.0 + 0.0im
11011010 (Hamming wt: 5): 0.0 + 0.0im
11011011 (Hamming wt: 6): 0.0 + 0.0im
11011100 (Hamming wt: 5): 0.0 + 0.0im
11011101 (Hamming wt: 6): 0.0 + 0.0im
11011110 (Hamming wt: 6): 0.0 + 0.0im
11011111 (Hamming wt: 7): 0.0 + 0.0im
11100000 (Hamming wt: 3): 0.0 + 0.0im
11100001 (Hamming wt: 4): 9.268525680615372e-5 - 0.004545255609202102im
11100010 (Hamming wt: 4): -0.0009789089877556471 + 0.0012375109258804342im
11100011 (Hamming wt: 5): 0.0 + 0.0im
11100100 (Hamming wt: 4): -0.0006525171146071212 + 0.00303171944323913im
11100101 (Hamming wt: 5): 0.0 + 0.0im
11100110 (Hamming wt: 5): 0.0 + 0.0im
11100111 (Hamming wt: 6): 0.0 + 0.0im
11101000 (Hamming wt: 4): -0.0005670487553628364 + 0.0067352384865975844im
11101001 (Hamming wt: 5): 0.0 + 0.0im
11101010 (Hamming wt: 5): 0.0 + 0.0im
11101011 (Hamming wt: 6): 0.0 + 0.0im
11101100 (Hamming wt: 5): 0.0 + 0.0im
11101101 (Hamming wt: 6): 0.0 + 0.0im
11101110 (Hamming wt: 6): 0.0 + 0.0im
11101111 (Hamming wt: 7): 0.0 + 0.0im
11110000 (Hamming wt: 4): -0.005942668978523605 + 0.0008242259808879162im
11110001 (Hamming wt: 5): 0.0 + 0.0im
11110010 (Hamming wt: 5): 0.0 + 0.0im
11110011 (Hamming wt: 6): 0.0 + 0.0im
11110100 (Hamming wt: 5): 0.0 + 0.0im
11110101 (Hamming wt: 6): 0.0 + 0.0im
11110110 (Hamming wt: 6): 0.0 + 0.0im
11110111 (Hamming wt: 7): 0.0 + 0.0im
